time,vid,cluster_head,distance_to_ch
59,21,8,159.09
59,22,11,203.22927003756126
59,23,11,247.63522709824628
59,24,2,123.28
59,25,25,0.0
59,26,8,109.62671389766275
59,27,2,233.93628406042532
59,28,28,0.0
59,3,8,238.94703011337054
59,4,28,22.830000000000013
59,5,8,57.961104199281785
59,6,28,202.41529611173164
59,7,2,205.05723006029316
59,8,8,0.0
59,9,25,67.83000000000004
60,0,20,211.45731389573646
60,1,1,0.0
60,10,30,201.0622033103189
60,11,21,205.5471279293389
60,12,20,153.01999999999998
60,14,28,243.55000000000004
60,15,NONE,287.24814864503475
60,16,21,210.4624206360841
60,17,NONE,327.5815441993031
60,18,30,21.280000000000086
60,19,NONE,415.84664012109084
60,2,NONE,251.09996435682746
60,20,20,0.0
60,21,21,0.0
60,22,NONE,274.91089920190507
60,23,21,211.08960206509462
60,24,NONE,343.0738231051737
60,25,NONE,307.3087021221495
60,26,21,66.73230102431651
60,27,NONE,468.2591292222716
60,28,28,0.0
60,3,20,52.77999999999997
60,30,30,0.0
60,4,28,21.440000000000026
60,5,1,81.31006641246826
60,6,28,223.9928590379613
60,7,NONE,408.936406914327
60,8,1,98.83181876298745
60,9,NONE,375.7234754443752
61,0,20,207.78792963018807
61,1,1,0.0
61,10,30,202.26426377390544
61,11,21,205.1282613390949
61,12,20,146.2461390943364
61,14,1,245.5035645362405
61,15,NONE,275.53130729555943
61,16,21,210.4276037025561
61,17,NONE,316.44093603704306
61,18,30,30.129999999999995
61,19,NONE,418.1578840581629
61,2,20,248.05900346490148
61,20,20,0.0
61,21,21,0.0
61,22,NONE,283.25326494146543
61,23,21,212.96041627495003
61,24,NONE,336.6294752394686
61,25,NONE,293.685706325657
61,26,8,60.54462486464017
61,27,NONE,476.93659872146526
61,28,1,136.6854856961777
61,3,20,59.994966455528605
61,30,30,0.0
61,4,1,131.8875221542963
61,5,8,90.26115498928651
61,7,NONE,412.1497078732435
61,8,8,0.0
61,9,NONE,362.1781413890132
62,0,NONE,263.8320109463596
62,1,1,0.0
62,10,30,203.87106611777946
62,11,21,209.118626621351
62,12,31,248.90437943113812
62,14,29,214.2024785104038
62,15,31,229.14820531699564
62,16,31,117.44545287068377
62,17,31,92.20554484411454
62,18,30,37.98000000000002
62,19,NONE,495.0103433262784
62,2,NONE,399.5236408524531
62,20,21,183.72354884445272
62,21,21,0.0
62,22,NONE,290.25709775989975
62,23,21,218.38619484756813
62,24,NONE,403.6927589144993
62,25,31,214.39697852348573
62,26,21,95.2389972647759
62,27,NONE,483.71058495757563
62,28,29,42.03999999999999
62,29,29,0.0
62,3,21,112.98532471077826
62,30,30,0.0
62,31,31,0.0
62,4,29,18.19999999999999
62,5,1,114.71666138796054
62,7,NONE,473.54081228548824
62,8,21,130.32556195927182
62,9,31,244.95811886932842
63,0,NONE,254.55933944760307
63,1,1,0.0
63,10,31,228.81972729640245
63,11,16,144.2654944884604
63,12,31,243.53247380996228
63,14,29,216.36824281765567
63,15,31,234.97564405699583
63,16,16,0.0
63,17,31,77.56603638191139
63,18,NONE,414.59457980055646
63,19,NONE,508.15925466333874
63,2,NONE,389.99709755330224
63,20,21,175.15389005100627
63,21,21,0.0
63,22,NONE,287.4
63,23,21,225.91958237390577
63,24,NONE,405.45050943364225
63,25,16,120.32556669303499
63,26,21,109.22623540157372
63,27,NONE,498.2114822040937
63,28,29,53.920000000000016
63,29,29,0.0
63,3,21,89.59716290151158
63,30,NONE,429.3365142868703
63,31,31,0.0
63,4,29,29.04000000000002
63,5,1,130.40617239992898
63,7,NONE,495.0527470886309
63,8,21,118.88092361686965
63,9,16,169.9545786379408
64,0,8,238.6384663041564
64,1,1,0.0
64,10,31,220.1454873487076
64,11,NONE,264.27943714939306
64,12,31,240.77721341522334
64,14,1,217.02471840783485
64,15,31,239.68670968578954
64,16,31,95.68643843304028
64,17,31,61.33353487285728
64,18,NONE,410.314456971723
64,19,NONE,311.8871637307313
64,2,NONE,348.04249970369995
64,20,8,213.72286377456203
64,21,8,109.8662059051827
64,22,NONE,357.09956664773483
64,23,8,232.98429217438672
64,24,32,248.0211684514046
64,25,31,206.91631545144043
64,26,8,13.436610435671593
64,27,32,94.96393052101422
64,28,29,65.00999999999999
64,29,29,0.0
64,3,8,145.41235848441497
64,30,NONE,425.0850984214807
64,31,31,0.0
64,32,32,0.0
64,4,29,38.41999999999999
64,5,8,138.56575514895442
64,7,NONE,333.35703697387277
64,8,8,0.0
64,9,31,230.2447239352077
65,0,NONE,258.30771591263004
65,1,29,83.63562996713782
65,10,31,211.5576916588002
65,11,25,86.24566829702229
65,12,31,240.6763511440207
65,14,29,228.03592392427998
65,15,31,243.1121233093899
65,16,31,85.4846869328069
65,17,31,42.809766409080126
65,18,NONE,406.0210851667681
65,19,NONE,324.22081395246664
65,2,NONE,358.5680907442825
65,20,21,156.2052550332414
65,21,21,0.0
65,22,25,179.9757608679569
65,23,21,245.5628282130665
65,24,NONE,253.35255317442525
65,25,25,0.0
65,26,21,139.03731909095484
65,27,32,80.48364057372153
65,28,29,74.24000000000001
65,29,29,0.0
65,3,21,38.10460470861757
65,30,NONE,419.6023279249056
65,31,31,0.0
65,32,32,0.0
65,4,29,46.160000000000025
65,5,21,211.17000947104205
65,7,NONE,345.4378579426406
65,8,21,102.47865143531115
65,9,25,69.12
66,0,0,0.0
66,1,29,74.19486909483702
66,10,NONE,522.3580814919972
66,11,NONE,297.86684021555675
66,12,0,211.97891994252637
66,14,0,162.7812581349585
66,15,NONE,614.1152312066523
66,16,NONE,309.574016997551
66,17,NONE,390.82542854834816
66,18,NONE,631.4484621883246
66,19,NONE,336.3528868614033
66,2,0,226.6841414832542
66,20,0,149.35381079838572
66,21,8,99.3026288675179
66,22,NONE,325.7138498743951
66,23,8,211.17448827924267
66,24,0,194.1854886442342
66,25,NONE,317.47612760647064
66,26,33,43.079015773343734
66,27,32,64.23975093351464
66,28,29,81.78
66,29,29,0.0
66,3,8,107.59785871475329
66,30,NONE,672.3933363738817
66,31,NONE,373.61843691124244
66,32,32,0.0
66,33,33,0.0
66,4,29,52.120000000000005
66,5,0,84.27077844662405
66,7,NONE,357.88103609998666
66,8,8,0.0
66,9,NONE,386.1632588685775
67,0,0,0.0
67,1,29,68.05788786026201
67,10,NONE,511.86728016156684
67,11,NONE,290.74368264847993
67,12,0,210.1127316466092
67,14,0,150.02132281779146
67,15,NONE,609.8422314828647
67,16,NONE,303.9487247875865
